City,series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Baltimore,Cleared,5119,4637,4098,3655,3092,2072,3026.0,2796.0,1942.0,2522.0,2284.0,1226.0,2544.0
Baltimore,Reported,9316,8886,8789,8725,8346,9542,11010.0,12430.0,11100.0,11101.0,9398.0,4880.0,8861.0
Cincinatti,Cleared,1339,1018,944,859,1109,1183,1166.0,1192.0,1262.0,1178.0,1332.0,1219.0,1274.0
Cincinatti,Reported,3615,3076,2903,2858,2719,2788,2803.0,2862.0,2579.0,2605.0,2757.0,2533.0,2591.0
Clark_County,Cleared,145,142,126,117,127,156,124.0,114.0,113.0,122.0,151.0,132.0,112.0
Clark_County,Reported,239,248,283,245,298,338,323.0,331.0,261.0,282.0,357.0,352.0,348.0
Columbus,Cleared,823,800,675,592,680,663,673.0,656.0,674.0,804.0,924.0,857.0,623.0
Columbus,Reported,5472,5228,4808,4446,4640,4758,4694.0,4594.0,4586.0,4637.0,5233.0,5547.0,4082.0
Des_Plaines,Cleared,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0
Des_Plaines,Reported,57,61,65,56,53,50,51.0,61.0,39.0,56.0,43.0,77.0,69.0
Everett,Cleared,69,64,44,81,68,70,71.0,76.0,84.0,144.0,82.0,83.0,70.0
Everett,Reported,228,195,171,202,175,151,156.0,152.0,176.0,251.0,181.0,142.0,169.0
Oxford,Cleared,18,13,13,5,8,13,13.0,17.0,17.0,12.0,17.0,7.0,5.0
Oxford,Reported,21,23,19,16,11,20,18.0,28.0,16.0,25.0,26.0,35.0,12.0
Schenectady,Cleared,482,374,305,301,302,268,318.0,261.0,261.0,231.0,207.0,153.0,198.0
Schenectady,Reported,679,633,626,607,573,431,600.0,577.0,620.0,528.0,468.0,414.0,508.0
Springfield,Cleared,535,435,378,370,390,399,393.0,393.0,444.0,405.0,444.0,435.0,406.0
Springfield,Reported,2093,1582,1606,1677,1678,1662,1590.0,1356.0,1541.0,1398.0,1482.0,1443.0,1337.0
